,Epochs,Neurons,R2,RMSE,MSE,MAPE
0,400,24,0.8562604172756623,6.733024727324248,45.333622,14.166605472564697
1,400,34,0.8561460121773298,6.735703481114504,45.3697,14.663590490818024
2,400,44,0.850171527769894,6.874152668842232,47.253975,14.530070126056671
3,600,24,0.8490020084841636,6.900929330355339,47.622826,14.628693461418152
4,600,34,0.8514137074926571,6.845597805894556,46.86221,13.959237933158875
5,600,44,0.8506122174356856,6.8640360018268405,47.11499,14.734970033168793
6,800,24,0.8556377946593968,6.747591224667146,45.529987,14.310161769390106
7,800,34,0.8556216058358808,6.74796942792026,45.53509,14.618146419525146
8,800,44,0.8443273730263223,7.006935498530467,49.097145,14.6829292178154
9,1000,24,0.8566417769799152,6.724086895183212,45.213345,14.045201241970062
10,1000,34,0.8550929047874279,6.760313561294438,45.70184,14.352689683437347
11,1000,44,0.8466146859938443,6.955268717990206,48.375763,14.415323734283447
