hum3,hum2,hum1,dewp3,dewp2,dewp1,tavg3,tavg2,tavg1,yTavg
59,74,80,13,21,23,26,28,26,23.5
74,80,68,21,23,15,28,26,23.5,33
80,68,52,23,15,21,26,23.5,33,18
68,52,77,15,21,10,23.5,33,18,-1.5
52,77,67,21,10,-9,33,18,-1.5,11
77,67,52,10,-9,-2,18,-1.5,11,25
67,52,49,-9,-2,9,-1.5,11,25,32
52,49,55,-2,9,16,11,25,32,34
49,55,57,9,16,18,25,32,34,38
55,57,46,16,18,16,32,34,38,43
57,46,44,18,16,18,34,38,43,34
46,44,67,16,18,23,38,43,34,34.5
44,67,64,18,23,22,43,34,34.5,42
67,64,50,23,22,22,34,34.5,42,41.5
64,50,55,22,22,24,34.5,42,41.5,40.5
50,55,63,22,24,26,42,41.5,40.5,34.5
55,63,71,24,26,26,41.5,40.5,34.5,29
63,71,70,26,26,21,40.5,34.5,29,31.5
71,70,65,26,21,21,34.5,29,31.5,40.5
70,65,73,21,21,26,29,31.5,40.5,36.5
65,73,46,21,26,15,31.5,40.5,36.5,31.5
73,46,47,26,15,12,40.5,36.5,31.5,27
46,47,60,15,12,13,36.5,31.5,27,30.5
47,60,62,12,13,16,31.5,27,30.5,30
60,62,71,13,16,21,27,30.5,30,26.5
62,71,85,16,21,24,30.5,30,26.5,30.5
71,85,62,21,24,17,30,26.5,30.5,34
85,62,52,24,17,17,26.5,30.5,34,29
62,52,73,17,17,24,30.5,34,29,33.5
52,73,47,17,24,13,34,29,33.5,33
73,47,47,24,13,14,29,33.5,33,38
47,47,41,13,14,15,33.5,33,38,37
47,41,62,14,15,22,33,38,37,33.5
41,62,54,15,22,16,38,37,33.5,35.5
62,54,78,22,16,24,37,33.5,35.5,27.5
54,78,88,16,24,25,33.5,35.5,27.5,18
78,88,80,24,25,14,35.5,27.5,18,15
88,80,67,25,14,7,27.5,18,15,28
80,67,58,14,7,14,18,15,28,31
67,58,54,7,14,16,15,28,31,34
58,54,49,14,16,17,28,31,34,37.5
54,49,51,16,17,19,31,34,37.5,16
49,51,63,17,19,9,34,37.5,16,21.5
51,63,54,19,9,6,37.5,16,21.5,27
63,54,54,9,6,10,16,21.5,27,32.5
54,54,53,6,10,17,21.5,27,32.5,32
54,53,78,10,17,24,27,32.5,32,23
53,78,86,17,24,20,32.5,32,23,24
78,86,91,24,20,22,32,23,24,16.5
86,91,86,20,22,14,23,24,16.5,17.5
91,86,72,22,14,9,24,16.5,17.5,25
86,72,54,14,9,10,16.5,17.5,25,36
72,54,44,9,10,16,17.5,25,36,36.5
54,44,66,10,16,26,25,36,36.5,35.5
44,66,64,16,26,21,36,36.5,35.5,38.5
66,64,50,26,21,18,36.5,35.5,38.5,32
64,50,89,21,18,33,35.5,38.5,32,35
50,89,80,18,33,27,38.5,32,35,42.5
89,80,55,33,27,23,32,35,42.5,43.5
80,55,53,27,23,25,35,42.5,43.5,43.5
55,53,55,23,25,26,42.5,43.5,43.5,39
53,55,72,25,26,28,43.5,43.5,39,40
55,72,66,26,28,27,43.5,39,40,40
72,66,80,28,27,30,39,40,40,39.5
66,80,76,27,30,32,40,40,39.5,44
80,76,46,30,32,23,40,39.5,44,35
76,46,67,32,23,24,39.5,44,35,35
46,67,54,23,24,17,44,35,35,40.5
67,54,35,24,17,13,35,35,40.5,42.5
54,35,42,17,13,18,35,40.5,42.5,35.5
35,42,82,13,18,29,40.5,42.5,35.5,40
42,82,66,18,29,27,42.5,35.5,40,46
82,66,38,29,27,18,35.5,40,46,52.5
66,38,29,27,18,15,40,46,52.5,49.5
38,29,42,18,15,22,46,52.5,49.5,28
29,42,87,15,22,23,52.5,49.5,28,25
42,87,64,22,23,14,49.5,28,25,43
87,64,35,23,14,15,28,25,43,51.5
64,35,28,14,15,16,25,43,51.5,39.5
35,28,75,15,16,30,43,51.5,39.5,30
28,75,78,16,30,24,51.5,39.5,30,28.5
75,78,68,30,24,22,39.5,30,28.5,36
78,68,71,24,22,27,30,28.5,36,38.5
68,71,59,22,27,25,28.5,36,38.5,45.5
71,59,37,27,25,18,36,38.5,45.5,54
59,37,25,25,18,18,38.5,45.5,54,60.5
37,25,22,18,18,21,45.5,54,60.5,47
25,22,42,18,21,19,54,60.5,47,48
22,42,62,21,19,30,60.5,47,48,36
42,62,34,19,30,9,47,48,36,43
62,34,37,30,9,15,48,36,43,45
34,37,41,9,15,21,36,43,45,50.5
37,41,41,15,21,24,43,45,50.5,40
41,41,47,21,24,20,45,50.5,40,39.5
41,47,65,24,20,25,50.5,40,39.5,46.5
47,65,42,20,25,20,40,39.5,46.5,50.5
65,42,32,25,20,22,39.5,46.5,50.5,43
42,32,60,20,22,28,46.5,50.5,43,53.5
32,60,45,22,28,30,50.5,43,53.5,59.5
60,45,35,28,30,31,43,53.5,59.5,54
45,35,34,30,31,25,53.5,59.5,54,50.5
35,34,40,31,25,26,59.5,54,50.5,53.5
34,40,50,25,26,33,54,50.5,53.5,45.5
40,50,67,26,33,35,50.5,53.5,45.5,46
50,67,75,33,35,39,53.5,45.5,46,51.5
67,75,58,35,39,35,45.5,46,51.5,56.5
75,58,52,39,35,37,46,51.5,56.5,49
58,52,79,35,37,41,51.5,56.5,49,53
52,79,80,37,41,44,56.5,49,53,51.5
79,80,88,41,44,45,49,53,51.5,41
80,88,88,44,45,37,53,51.5,41,45.5
88,88,59,45,37,30,51.5,41,45.5,48
88,59,62,37,30,32,41,45.5,48,42.5
59,62,60,30,32,28,45.5,48,42.5,49
62,60,51,32,28,32,48,42.5,49,59.5
60,51,34,28,32,29,42.5,49,59.5,41
51,34,69,32,29,28,49,59.5,41,40.5
34,69,30,29,28,12,59.5,41,40.5,42
69,30,52,28,12,24,41,40.5,42,43
30,52,57,12,24,29,40.5,42,43,50.5
52,57,37,24,29,24,42,43,50.5,57.5
57,37,26,29,24,24,43,50.5,57.5,51
37,26,30,24,24,19,50.5,57.5,51,47
26,30,56,24,19,30,57.5,51,47,41
30,56,42,19,30,19,51,47,41,45.5
56,42,43,30,19,25,47,41,45.5,54.5
