"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-01","8.95"," 1330"," 1427","0.00","0.0","1.0",,"40","12","  150","   50",,"16.1","25.9",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-02","5.14"," 1319"," 1319","0.00","0.0","1.0",,"40","16","  290","  290",,"17.9","23.9","    1",,,,,,,"    1",,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-03","4.70"," 0327"," 0326","0.00","0.1","1.0",,"36","16","  210","  210",,"15.0","16.1","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-04","10.29"," 0820"," 0851","0.00","0.0","1.0",,"36","11","  210","  210",,"16.1","19.9",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-05","8.72"," 1437"," 1437","0.00","0.0","1.0",,"47","19","  280","  280",,"23.0","28.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-06","12.30"," 0722"," 0745","0.05","2.3","1.0",,"42","-6","   60","   60",,"29.1","33.1","    1","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-07","7.83"," 0925"," 1626","0.00","0.0","2.0",,"13","-16","  120","  350",,"15.0","17.9","    1",,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-08","9.40"," 2107"," 2107","0.00","0.0","2.0",,"33","-11","  160","  160",,"17.0","17.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-09","10.96"," 2215"," 2215","0.00","0.0","1.0",,"40","10","  240","  210",,"21.0","32.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-10","10.29"," 0127"," 2250","0.00","0.0","1.0",,"43","21","  210","  220",,"17.0","17.9",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-11","8.72"," 0850"," 0831","0.00","0.0","1.0",,"47","21","  220","  210",,"16.1","23.9",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-12","9.62"," 0839"," 2158","0.00","0.0","0.0",,"56","20","  230","  310",,"17.9","34.9",,,,,,,,"    1",,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-13","8.28"," 2000"," 1929","0.00","0.0","0.0",,"56","30","   90","   50",,"16.1","19.9",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-14","5.37"," 1904"," 2017","0.00","0.0","0.0",,"43","25","  160","  160",,"12.1","13.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-15","9.40"," 2345"," 2246","0.00","0.0","0.0",,"46","23","  210","  220",,"16.1","21.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-16","9.40"," 2327"," 2324","0.00","0.0","0.0",,"58","26","  190","  190",,"13.0","14.1",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-17","7.38"," 2129"," 2355","0.00","0.0","0.0",,"54","29","  160","  210",,"14.1","15.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-18","6.04"," 1015"," 0805","0.00","0.0","0.0",,"53","28","  240","  220",,"15.0","17.9",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-19","6.49"," 2347"," 1408","0.00","0.0","0.0",,"43","26","  210","  290",,"13.0","15.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-20","6.71"," 0104"," 0058","0.00","0.0","0.0",,"35","23","  200","  210",,"14.1","17.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-21","7.61"," 2138"," 2132","0.00","0.0","0.0",,"44","19","  170","  170",,"16.1","17.9",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-22","7.83"," 1427"," 1431","0.00","0.0","0.0",,"56","25","  310","  320",,"23.0","28.0","    1","    1",,,,,,,"    1",,,"    1",,,,,,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-23","7.38"," 1408"," 1231","0.00","0.0","0.0",,"46","27","  270","  210",,"17.0","30.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-24","8.95"," 1528"," 1528","0.00","0.0","0.0",,"40","23","  320","  330",,"25.1","31.1",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-25","10.07"," 2311"," 2310","0.00","0.0","0.0",,"38","16","  140","  140",,"19.9","23.0",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-26","6.93"," 1331"," 1330","0.00","0.0","0.0",,"43","18","   90","  100",,"17.9","21.9",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-27","7.61"," 1335"," 1334","0.02","0.0","0.0",,"40","20","   70","   60",,"15.0","19.9","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-28","6.93"," 0348"," 0227","0.00","0.2","0.0",,"32","21","  130","  110",,"15.0","17.9","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-29","3.13"," 2323"," 1537","0.00","0.0","0.0",,"44","17","  210","   10",,"6.9","8.9","    1","    1",,,,,,,"    1",,,"    1",,,,,,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-30","7.38"," 1423"," 1442","0.00","0.0","0.0",,"50","18","  100","  100",,"14.1","16.1",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01-31","7.38"," 1130"," 1130","0.00","0.0","0.0",,"38","20","  330","  330",,"16.1","19.9",,,,,,,,,,,,,,,,,,,
